"GroupNumber","FilePath","FileName","FileSize","LastModified","Hash"
"4280","C:\Users\louie\Documents\GitProject\Toto-Predictions\.mypy_cache\3.12\numpy\lib\ufunclike.data.json","ufunclike.data.json","37.96 KB","3/2/2025 4:37:49 pm","1d55cfae27355963f91f998f1094f6bf"
"4281","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000748.jpg","00000748.jpg","29.97 KB","15/10/2024 10:24:50 pm","1d55cfae27355963f91f998f1094f6bf"
"4281","C:\Users\louie\Documents\Project\Capstone\Images\00000748.jpg","00000748.jpg","29.97 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4282","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003386.jpg","00003386.jpg","28.34 KB","15/10/2024 10:25:29 pm","1d55cfae27355963f91f998f1094f6bf"
"4282","C:\Users\louie\Documents\Project\Capstone\Images\00003386.jpg","00003386.jpg","28.34 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4283","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003970.jpg","00003970.jpg","17.88 KB","15/10/2024 10:25:38 pm","1d55cfae27355963f91f998f1094f6bf"
"4283","C:\Users\louie\Documents\Project\Capstone\Images\00003970.jpg","00003970.jpg","17.88 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4284","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004787.jpg","00004787.jpg","29.80 KB","15/10/2024 10:25:50 pm","1d55cfae27355963f91f998f1094f6bf"
"4284","C:\Users\louie\Documents\Project\Capstone\Images\00004787.jpg","00004787.jpg","29.80 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4285","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002583.jpg","00002583.jpg","28.90 KB","15/10/2024 10:25:17 pm","1d55cfae27355963f91f998f1094f6bf"
"4285","C:\Users\louie\Documents\Project\Capstone\Images\00002583.jpg","00002583.jpg","28.90 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4286","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002182.jpg","00002182.jpg","29.28 KB","15/10/2024 10:25:11 pm","1d55cfae27355963f91f998f1094f6bf"
"4286","C:\Users\louie\Documents\Project\Capstone\Images\00002182.jpg","00002182.jpg","29.28 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4287","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00003974.jpg","00003974.jpg","27.96 KB","15/10/2024 10:25:38 pm","1d55cfae27355963f91f998f1094f6bf"
"4287","C:\Users\louie\Documents\Project\Capstone\Images\00003974.jpg","00003974.jpg","27.96 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4288","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000135.jpg","00000135.jpg","22.30 KB","15/10/2024 10:24:41 pm","1d55cfae27355963f91f998f1094f6bf"
"4288","C:\Users\louie\Documents\Project\Capstone\Images\00000135.jpg","00000135.jpg","22.30 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
